,title,description,url,location
11,Рыжая кошка найдена СНТ Визовец-7 ,"Маленькая, ласковая, пугливая кошечка возрастом 2-ух лет пропала 11.10.2024 вечером, пока меня не было дома, ко мне зашел отец и выставил еë на улицу... Она очень его боиться и могла убежать вглубь оврага. Еë нет уже два дня, должно быть, она очень голодная... В овраге бродят собаки, очень за неë переживаю",https://kinpet.ru/ekaterinburg/koshki/ryzhaya-koshka-naydena-snt-vizovets-7-64440/,Екатеринбург 
12,Кошечка 2-3 месяца ,"Такса, кобель, коричневого окраса найден г. Сургут, пр. Набережный, д. 6 ГМ Маяк",https://kinpet.ru/moskva/koshki/koshechka-2-3-mesyatsa-64439/,Москва 
13,ПОТЕРЯЛСЯ КОТ ,"Пропал кот, 11 лет, кастрирован. Порода корниш-рекс, большие уши, голубые глаза, очень короткая немного волнистая шерсть. Окрас серо-белый. Кличка Тëма.Пропал в СНТ Родничок, Софринский район ( СНТ за парк отелем Софрино), участок 20.Нашедшему вознаграждение 10000р.",https://kinpet.ru/krasnodar/koshki/poteryalsya-kot--64417/,Краснодар 
14,Потерялся член семьи ,"Найдена девочка самоед. Возраст приблизительно год, очень добрая и контактная. Ищет своих хозяев ",https://kinpet.ru/rostov-na-donu/koshki/poteryalsya-chlen-semi-64409/,Ростов-на-Дону 
15,Потеряна собака 27.09.24годя по Кличке Боня кабель Немного может быть агрессивен ,"Рыжая длиношерстная кошка. Ухоженная.Возраст от 1 года. Найдена в СНТ Визовец-7 Екатеринбург, прошу хозяина откликнуться. ",https://kinpet.ru/vladikavkaz/sobaki/poteryana-sobaka-27-09-24godya-po-klichke-bonya-kabel-nemnogo-mozhet-byt-agressiven--64394/,Владикавказ 
16,Потерялся кот ,"Найдена домашняя кошечка 2-3 месяца, возле станции Бульвар Дмитрия ДонскогоЛибо выкинули, либо потеряшка.Очень спокойная и ласковая. Обработали от всех паразитов. Оставить не можем, т.к есть агрессивный кот, который ее раздерет при возможности.Очень ласковый компаньон, нуждается в добром хозяине.",https://kinpet.ru/drugie-mos/koshki/poteryalsya-kot--64393/,дачный пос. Рузские Дачи 
17,найден пёс на родниках ,"Мальчик, 2 года, кастрирован, нет породы (указала Мей-Кун так как его очень часто принимали за эту породу), рыжийПотерялся примерно неделю назад, в районе улиц ЗАКАТНАЯ и ШПАКА (прикубанский округ)Те, кто найдет, готовы дать вознаграждение",https://kinpet.ru/novosibirsk/sobaki/nayden-pyes-na-rodnikakh--64347/,Новосибирск 
18,нашли собаку ,"Потерялась кошка, домашняя, стерилизованная, к жизни на улице не приучена. Кличка Маргарита, в руки особо не дается, характерная. Потерялась в центре города Ростов-на-Дону, район Станиславского, Боготяновский спуск, Петровская. Могла забиться куда-то в угол, или приблудится к кому-то. Пожалуйста если Вы ее нашли или видели, дайте информацию. Хозяйка не находит себе места.",https://kinpet.ru/mytishchi/sobaki/nashli-sobaku--64338/,Мытищи 
19,Потерялся кот ,Еще 2 фото,https://kinpet.ru/drugie-mos/koshki/poteryalsya-kot-64332/,с. Царёво 
20,Потерялся кот ,"Пропала собака метис-таксы рыжий кабель, 5 лет был в ошейнике с желто черными полосами. От испуга может быть агрессивным При возможности сфоткать удержать и Срочно позвонить ",https://kinpet.ru/pervouralsk/koshki/poteryalsya-kot-64329/,Первоуральск 
21,Найден ,Ничего не найденоУкажите другую породу,https://kinpet.ru/drugie-mos/sobaki/nayden-64320/,СНТ Жаворонки 
22,Пропал сын ,Ничего не найденоУкажите другую породу,https://kinpet.ru/drugie-kda/koshki/propal-syn-64313/,с. Верхний Юрт 
23,Найден пес ,Ничего не найденоУкажите другую породу,https://kinpet.ru/krasnodar/sobaki/nayden-pes-64312/,Краснодар 
24,Пропал французский бульдог ,"Найден питомец лабрадор , бежевого цвета. На остановке Жаворонки",https://kinpet.ru/drugie-ros/sobaki/propal-frantsuzskiy-buldog--64290/,хут. Красный Десант 
25,"Пропал кот Персик 3 октября. Район Кашары, Чапаева, Левобережная. Домашний, но не кастрированный, ","Пропал кот 3 года,рыжий с полосками-был в черном тканевом ошейнике. Слизится левый глаз. Порода мейн-Кун смесь с Сибирским-агрессивный,людей боится и не любит.отзывается на Зевса или на сыну. Пропал в хостинском районе ст дальний качан-ушел гулять и не вернулся. кто видел дайте знать или верните пожалуйста -это очень любимый член семьи и сын🙏",https://kinpet.ru/belgorod/koshki/propal-kot-persik-3-oktyabrya-rayon-kashary-chapaeva-levoberezhnaya-domashniy-no-ne-kastrirovannyy--64289/,Белгород 
26,ПРОПАЛА СОБАКА ,Есть фото,https://kinpet.ru/drugie-mos/sobaki/propala-sobaka-64285/,д. Трегубово 
27,Найден Йорк. Немолодой ,"Пропал французский бульдог, окрас тигровый, на вид 4-5 месяцев. Кличка Тео. Долоковка, Красный Десант. Если кто-то увидит, пожалуйста позвоните ",https://kinpet.ru/drugie-mos/sobaki/nayden-york-nemolodoy-64269/,Другие города Московской области 
28,"помогите, пожалуйста, найти. пропали три девочки - подростка (9 месяцев) ","Серо белый , голубоглазый , возраст около 2 лет ",https://kinpet.ru/kazan/sobaki/pomogite-pozhaluysta-nayti-propali-tri-devochki-podrostka-9-mesyatsev-64252/,Казань 
29,Потерялся котенок ,Еще 1 фото,https://kinpet.ru/voronezh/koshki/poteryalsya-kotenok--64251/,Воронеж 
30,Нашлась собака! ,"Помогите‼Пропал член семьи и наш любимец!!!Порода Джек-рассел.Кличка - Мейсон.Красный ошейникКобельБело-коричневый окрасВозраст - 7 лет.Пропал из д. Трегубово, Зарайский районУбежал (30.09) утромДо настоящего времени не вернулся.Такое для него не характерно.Убежал на запах течки!!Убедительная просьба!Помоги нам 🙏🏻🙏🏻🙏🏻🙏🏻Это очень большая потеря для нас!!!Вознаграждение 50000‼️‼️‼️Анна, Варвара",https://kinpet.ru/drugie-mo/sobaki/nashlas-sobaka-64230/,пос. Троицкий 
31,Потерялся рыжий кот ,Йорк. Пожилой с ошейником,https://kinpet.ru/kursk/koshki/poteryalsya-ryzhiy-kot-64229/,Курск 
32,"Потерялась кошка, выпала из окна на ул. Руднева 28 ","здравствуйте.пропали три девочки - подростка (9 месяцев).собаки не агрессивные.пропали 9 октября, под утро.авиастроительный район.в районе улиц Серафимовича и Бестужева.Две черного окраса, одна серо - рыжая.клички : Тесси, Несси и Роззи.объездили весь частный сектор от Жилки до Давыдова.помогите, пожалуйста, найти. эти девочки нам очень дороги 🙏🙏🙏",https://kinpet.ru/sankt-peterburg/koshki/poteryalas-koshka-vypala-iz-okna-na-ul-rudneva-28-64222/,Санкт-Петербург 
33,Потерялась серая кошка мей-кун ,Потерялся котенок в районе мкр. Скандинавия. Возраст 6 месяцев. Полностью серый. Нашедших просьба связаться.,https://kinpet.ru/irkutsk/koshki/poteryalas-seraya-koshka-mey-kun-64220/,Иркутск 
34,С ошейником ,Еще 2 фото,https://kinpet.ru/drugie-len/sobaki/s-osheynikom-64218/,д. Витино 
35,Пропала кошка Соня ,Девочка. Очень послушная и ласковая. Шерсть черная брюшко светлое.,https://kinpet.ru/yaroslavl/koshki/propala-koshka-sonya-64217/,Ярославль 
36,Найден кобель хаски рыжий ,Потерялся рыжий кот в районе магазина Европа на пр-те Дериглазова,https://kinpet.ru/drugie-mos/sobaki/nayden-kobel-khaski-ryzhiy-64213/,с. Озерецкое 
37,Пропал кчерный котик с белой грудкой ,"Кошке 13 лет. Черная с белой грудкой и мордочкой, зовут Муся очень ласковая, но боится людей.",https://kinpet.ru/yaroslavl/koshki/propal-kchernyy-kotik-s-beloy-grudkoy-64202/,Ярославль 
38,Надена кошка в Кузьминках ,"Кошка породы мей-кун серая, пушистая. Пугливая. Средних для породы размеров, но длиннее обычной кошки. Глаза желтые, мордочка с суровым выражением. Потерялась 9 октября после 17.00, спрыгнула с окна второго этажа в микрорайоне Юбилей, дом 109",https://kinpet.ru/moskva/koshki/nadena-koshka-v-kuzminkakh-64188/,Москва 
39,Пропала в Пирогово МО Малинуа ,Найден Лабрадор золотистый с ошейником в д. Витино,https://kinpet.ru/drugie-mos/sobaki/propala-v-pirogovo-mo-malinua-64170/,пос. Мебельной Фабрики 
40,Краснодар потерялась собака ,"Пропала кошка Соня (окрас серо-белый, с рыжим, полосатая, 1 годик, на шее жёлтый ошейник. ",https://kinpet.ru/krasnodar/sobaki/krasnodar-poteryalas-sobaka-64127/,Краснодар 
41,Потерялась собака село Киевское ,"Сегодня 9.10.24 на Рогачевском шоссе в районе посёлка Озерецкое найден кобель хаски, рыжего окраса. В ошейнике",https://kinpet.ru/drugie-kda/sobaki/poteryalas-sobaka-selo-kievskoe-64109/,с. Киевское 
42,Пропал рыжий кот ,Ничего не найденоУкажите другую породу,https://kinpet.ru/drugie-mos/koshki/propal-ryzhiy-kot-64093/,с. Зелёная Слобода 
43,Майкл. Пропал в деревне Метляки (Воткинский Район). ,Ничего не найденоУкажите другую породу,https://kinpet.ru/votkinsk/sobaki/maykl-propal-v-derevne-metlyaki-votkinskiy-rayon--64092/,Воткинск 
44,Потерялась собака ,Ничего не найденоУкажите другую породу,https://kinpet.ru/shchelkovo/sobaki/poteryalas-sobaka--64091/,Щелково 
45,Потерялась собака породы чихуахуа ,"Пропал рыжий кот в районе поселка Зеленая Слобода Раменского района МО.Коту около 8 лет, около хвоста зеленка осталась, лечили рану. Кот очень ласковый.Просьба помочь найти! ",https://kinpet.ru/elets/sobaki/poteryalas-sobaka-porody-chikhuakhua--64080/,Елец 
46,Найден кот ,"Зовут Майкл. Пропал в деревне Метляки (Воткинский Район). Очень дружелюбный. Любит людей, охотно идёт на контакт. Может быть в соседних сёлах: Фертиках, Березниках, Евсино или Гавриловке. Нашедшему - денежное вознаграждение. 10 000 руб.",https://kinpet.ru/drugie-kya/koshki/nayden-kot-64072/,ДНТ Заречье 
47,"Пропала кошка,свалилась из окна ",Зовут Осман ему 1.5 года на задней лапке шрам.На нем одета шлейка чёрная,https://kinpet.ru/sankt-peterburg/koshki/propala-koshka-svalilas-iz-okna-64027/,Санкт-Петербург 
48,Потеряшка ,Собака среднего размера белая с коричневыми пятнами ,https://kinpet.ru/lyubertsy/koshki/poteryashka--63999/,Люберцы 
49,ПОТЕРЯЛСЯ КОТ ❗️❗️ ,Найден кот в районе поселка элита. Возраст предположительно около 2х лет кастрирован. Хвост короткий уши маленькие.,https://kinpet.ru/rostov-na-donu/koshki/poteryalsya-kot--63959/,Ростов-на-Дону 
50,Потерялась девочка мейнкун ,Еще 4 фото,https://kinpet.ru/drugie-mos/koshki/poteryalas-devochka-meynkun-63958/,раб. пос. Нахабино 
51,пропала кошка деревня Татариново Можайский район ,"В ночь на 8 октября по адресу Кубинская 70 к 2, выпала из окна кошка Пуша, пожалуйста помогите, нам то видел дайте знать 🙏У нее один глаз плохо видит,правый.",https://kinpet.ru/drugie-mos/koshki/propala-koshka-derevnya-tatarinovo-mozhayskiy-rayon-63949/,д. Татариново 
52,"Кто потерял кота, г. Фрязино ","Вислоухий шотландский кот, не кастрированный.Возле ул. Юбилейная 3 прибился 3 дня назад. ",https://kinpet.ru/fryazino/koshki/kto-poteryal-kota-g-fryazino-63948/,Фрязино 
53,Лабрадор ,"Район БЕРБЕРОВКА-Нахичевань!Пропал темненький мальчик по кличке Симба !Если вы его видели, или нашли звоните - Татьяна !",https://kinpet.ru/nizhniy-novgorod/sobaki/labrador-63906/,Нижний Новгород 
54,Ищем хозяев собаки ,"Потерялась девочка Бриана мейнкун, светлорыжиц окрас ,не очень общительная/вознаграждение 10000.",https://kinpet.ru/novosibirsk/sobaki/ishchem-khozyaev-sobaki-63895/,Новосибирск 
55,Потеряшка ,"Чёрная, белые чулочки, белая грудка, белое пятнышко на подбородке, длинная пышная шёрстка, пышные усы, жёлто-зелёные глаза, громко пищит, особенно если чего-то пугается. Ушла на прогулку по участку и пропала.",https://kinpet.ru/khabarovsk/sobaki/poteryashka-63890/,Хабаровск 
56,06.10.2024 года была найдена собака в г. Краснодар по улице Лукьяненко. её подбила машина ,Чей котик потерялся?!Фрязино Комсомольская 18,https://kinpet.ru/krasnodar/sobaki/06-10-2024-goda-byla-naydena-sobaka-v-g-krasnodar-po-ulitse-lukyanenko-eye-podbila-mashina-63887/,Краснодар 
57,Найдена Кошка ,"Найден черный лабрадор. Девочка. С ошейником, но без контактов владельца. Прибилась к нам на базу. ",https://kinpet.ru/irkutsk/koshki/naydena-koshka-63877/,Иркутск 
58,Найти кота ,"Нашли в районе улицы Есенина 51, бегала скулила.Собака домашняя,чистая,не агрессивная.Ищем хозяев собаки",https://kinpet.ru/krasnodar/koshki/nayti-kota--63863/,Краснодар 
59,Пропала кошка ,"Черно белый окрас, добродушный, ласковый идет ко всем.",https://kinpet.ru/rostov-na-donu/koshki/propala-koshka-63862/,Ростов-на-Дону 
60,Потерялся ,"‼️ чёрная собака средних размеров по ней видно, что она домашння. с ошейником. пытаемся оказать ей помощь, ищем хозяев потеряшки!!!",https://kinpet.ru/moskva/sobaki/poteryalsya-63792/,Москва 
61,Найдена собака ,"Была найдена в районе Омулевского, привязанная к машине за шлейку. Из шлейки вырвалась, забилась в угол. Очень спокойная, даёт взять себя на руки но вырывается из квартиры и ждёт хозяев:(Хозяину или желающему забрать в добрые руки звонить по номеру указанному ниже.",https://kinpet.ru/drugie-vla/sobaki/naydena-sobaka-63759/,д. Дубки 
62,ПРОПАЛА СОБАКА ,Кот пятнистый маленький коричневый дикий отзывается на кскс ,https://kinpet.ru/drugie-mos/sobaki/propala-sobaka-63740/,с. Кудиново 
63,Потерялся котик ,Ничего не найденоУкажите другую породу,https://kinpet.ru/drugie-mos/koshki/poteryalsya-kotik-63735/,коттеджный пос. Лесной 
64,Пропала домашняя любимица (кошка) ,Ничего не найденоУкажите другую породу,https://kinpet.ru/drugie-bu/koshki/propala-domashnyaya-lyubimitsa-koshka-63728/,с. Мухоршибирь 
65,Найден кот( кошка) ,Ничего не найденоУкажите другую породу,https://kinpet.ru/sankt-peterburg/koshki/nayden-kot-koshka-63719/,Санкт-Петербург 
66,Серый котёнок с черным ошейником ,"Молодой, глухой котик, очень ласковый, кастрирован.Должен быть в красном блошином ошейнике (если ещё не снял).",https://kinpet.ru/vladikavkaz/koshki/seryy-kotyenok-s-chernym-osheynikom-63667/,Владикавказ 
67,Найдена собака ,"Сиамская кошка, на пузике пятнышко светло-коричневое пятнышко, окрасс светло-коричневый, кончики ушек немного белые.Пожалуйста помогите найти нашу дрогоценную кошечку",https://kinpet.ru/krasnoyarsk/sobaki/naydena-sobaka-63649/,Красноярск 
68,Разыскивается рыжий кот ,Серый кот( кошка) в черные пятнышки,https://kinpet.ru/drugie-mos/koshki/razyskivaetsya-ryzhiy-kot-63646/,с. Каменское 
69,Найден пес ,"Нашёл серого котёнка с чёрным ошейником билара Кабалоева 4, 3 подъезд",https://kinpet.ru/volgograd/sobaki/nayden-pes-63595/,Волгоград 
70,Найдена средняя собака. ЮМР Краснодар. ,"Найдена маленькая собака в р-не Лента на Свердловской. Коричневого цвета, мальчик, около 20 см в холке.",https://kinpet.ru/krasnodar/sobaki/naydena-srednyaya-sobaka-yumr-krasnodar-63586/,Краснодар 
71,ПРОПАЛА СОБАКА ,Потерялся рыжий полосатый кот с белыми лапами в районе НароФомиский ГО пос . Каменское ул Центральная д 34а,https://kinpet.ru/tomsk/sobaki/propala-sobaka--63512/,Томск 
72,белла ,"Белый мальчик 4,5 лет. В ошейнике черном с красным. Добрый, ухоженный.",https://kinpet.ru/irkutsk/koshki/bella-63492/,Иркутск 
73,Потерялась собака Яхрома ,"Найдена взрослая собака, масть светло-рыжая.Размер средний. Морда и уши почти черные.Имеется ошейник. На морде розовое пятно.Сидела на крыльце у дома 4 по ул.Думенко в Краснодаре 01.10.2024 г.",https://kinpet.ru/yakhroma/sobaki/poteryalas-sobaka-yakhroma-63475/,Яхрома 
74,Потерялся Лабрадор черный ,"❕В СНТ «Амурский»ПРОПАЛА СОБАКАКто увидит, прошу вернутьза ВОЗНАГРАЖДЕНИЕПриметы: Зовут СТЕПА, окрас: черно-рыжий, седоватый. Впереди торчит зуб нижней челюсти. Очень доброжелательный пес, тянется к людям и особенно к детям.Если вы видели ее, сообщите пожалуйста любую информацию по телефону.",https://kinpet.ru/tolyatti/sobaki/poteryalsya-labrador-chernyy-63465/,Тольятти 
75,потерялся кот Бахрам. город Саратов ,Еще 1 фото,https://kinpet.ru/saratov/koshki/poteryalsya-kot-bakhram-gorod-saratov--63454/,Саратов 
76,Потерялась собака ,"Серая шерстка, белый фартук под шеей, видно полосы но не сильно. 3 года, вес 3-4 кг. Отзывается на имя Белла",https://kinpet.ru/nizhniy-novgorod/sobaki/poteryalas-sobaka-63398/,Нижний Новгород 
77,Потерялась кошка ,Длинношерстная большая немецкая овчарка с розовым носом ,https://kinpet.ru/drugie-mos/koshki/poteryalas-koshka-63391/,д. Скрылья 
78,Помогите найти!!!! ,"Здравствуйте, на Копылово 19 сентября потерялся лабрадор, кобель, чёрного цвета. Если кто видел позвоните пожалуйста",https://kinpet.ru/drugie-kda/sobaki/pomogite-nayti--63377/,хут. Чембурка 
79,Отдам в добрые руки ,"кот черный, лапы длинные, на ушках есть кисточки, откликается на Бахрам, нос большой.потерялся в районе 1-дачной, около детской поликлинике 4",https://kinpet.ru/tyumen/koshki/otdam-v-dobrye-ruki-63357/,Тюмень 
80,Пропала собака ,Еще 1 фото,https://kinpet.ru/moskva/sobaki/propala-sobaka-63276/,Москва 
81,потерялся кот ,"Потерялся мальчик (лабрадор), 9 месяцев, последние раз выдели около Бугров бизнес парк. Если увидите сообщите, пожалуйста, мы очень скучаем и переживаем. На шее было два ошейника желтый и чёрный.",https://kinpet.ru/drugie-mos/koshki/poteryalsya-kot-63269/,с. Ангелово 
82,Потерялся кот ,"Вчера вечером (20:00) в д.Скрылья пропала кошка! Как обычно вышла погулять, но не вернулась. Обыскали уже пол деревни, не нашли.Приметы: полностью серая, вислоухая, порода: шотландец. Очень переживаем. Просьба нашедшему, вернуть кошку за вознаграждение!",https://kinpet.ru/moskva/koshki/poteryalsya-kot--63220/,Москва 
83,пропал кот ,"Люди, пожалуйста помогите!!!!Здравствуйте! Помогите пожалуйста!!!! Пропала собака, шарпей, девочка 1 год. На трассе Анапа-Варениковская остановились, выскочила из машины и убежала в сторону Анапы по лесопосадкам.Нам догнать ее не удалось, тк она напугана была большим потоком машин, одна из которых ее задела.Цвет собаки черный, ошейник черный со светоотражающей полосой. Очень прошу помогите найти!!!!!!!!!!Она не адаптирована жить без меня,я без нее тоже. Прошу вас кто-нибудь может быть видел её, или она прибилась к кому-то, дайте знать, умоляю вас!",https://kinpet.ru/moskva/koshki/propal-kot-63210/,Москва 
84,Нашли черно-белую кошку ,Ничего не найденоУкажите другую породу,https://kinpet.ru/sankt-peterburg/koshki/nashli-cherno-beluyu-koshku-63204/,Санкт-Петербург 
85,Потерялась кошечка ,Ничего не найденоУкажите другую породу,https://kinpet.ru/krasnoyarsk/koshki/poteryalas-koshechka-63200/,Красноярск 
86,Найден Хаски на территории предприятия ,Ничего не найденоУкажите другую породу,https://kinpet.ru/drugie-len/sobaki/nayden-khaski-na-territorii-predpriyatiya--63199/,Другие города Ленинградской области 
87,Пропал кот снт фиалка ,"Нашли на лестнице тельмана 30к2 черно-белую кошку, очень ласковая, пока у подруги, если до 25 не найдутся хозяева придется сдать в приют ",https://kinpet.ru/drugie-mos/koshki/propal-kot-snt-fialka-63195/,СНТ Фиалка 
88,Найден кот ,"бело-черная, миниатюрная кошечка",https://kinpet.ru/nizhnevartovsk/koshki/nayden-kot-63186/,Нижневартовск 
89,"Помогите найти хозяина. Собака, упитанная, расчесанная, крупная, с поводком в г. Ивантеевка МО ","Кобель, глаза голубые, на вид лет 5, добрейшее создание, дорогу домой не может найти.",https://kinpet.ru/ivanteevka/sobaki/pomogite-nayti-khozyaina-sobaka-upitannaya-raschesannaya-krupnaya-s-povodkom-v-g-ivanteevka-mo-63183/,Ивантеевка 
90,Потеряшка- вознаграждение ,Рыжий окрас с серым отливом ,https://kinpet.ru/penza/koshki/poteryashka-voznagrazhdenie-63182/,Пенза 
91,Пропала кошка ,"Найден в подъезде чёрный кот, не кастрирован. Соседские дети сказали, что принесли откуда-то со стройки. Вид у кота опрятный, к лотку приучен, людей не боится - наоборот лезет гладиться.",https://kinpet.ru/sankt-peterburg/koshki/propala-koshka-63145/,Санкт-Петербург 
92,Пропала кошка. Очень сильно переживают пожилые хозяева и второй кот ,"Упитанная, расчесанная, девочка, домашняя, с поводком-рулеткой, крупненькая, белая с рыжими пятнами. Потерялась в г Ивантеевка МО. Возможно на электричке приехала , станция Детская , с Ярославского вокзала",https://kinpet.ru/samara/koshki/propala-koshka-ochen-silno-perezhivayut-pozhilye-khozyaeva-i-vtoroy-kot-63144/,Самара 
93,Найдена домашняя кошка ,"ПРОПАЛА КОШКА! ПОЖАЛУЙСТА, МАКСИМАЛЬНЫЙ РЕПОСТ! Пропала кошка. Окрас рыжий с белым, короткошерстная. Ухо покусано, на носу царапина. Стерилизованная. Без ошейника. В ночь 20.09.24 выбежала из квартиры на 8 этаже 3 подъезда 9 дома на улице Кижеватова , когда приехали врачи. ПОЖАЛУЙСТА ВЕРНИТЕ ЗА ВОЗНАГРАЖДЕНИЕ!!! ",https://kinpet.ru/moskva/koshki/naydena-domashnyaya-koshka-63114/,Москва 
94,Потерялась собака в районе мередиана г.Орска ,"9.09.2024 в районе 12 часов дня около помойки между домами Белы Куна 25 и Белы Куна 27 из машины убежала рыжая кошка.Пушистая, глаза желтые, кличка Фанта. На имя откликается плохо, в руки может не даться из-за испуга.Просьба, если кто-то видел эту кошку или похожую (или приютил ее) позвонить или написать в Ватсап/Телеграмм по телефону.Мы ее любим и ищем",https://kinpet.ru/elektrogorsk/sobaki/poteryalas-sobaka-v-rayone-merediana-g-orska-63105/,Электрогорск 
95,Кот ,"Кошка Нюша, возраст средний.Пропала 20 сентября в районе ул. Ново-Вокзальной и Вольской.Пугливая, не знаю, пойдет ли к незнакомым людям. Некрупная, но достаточно упитанная.Глаза желтые, с зеленцой. Окрас коричнево-серый, с рыжими пятнами.Очень сильно переживают пожилые родители и второй кот.Помогите, пожалуйста, найти.За вознаграждение.",https://kinpet.ru/korolev/koshki/kot-63096/,Королев 
96,Пропала собака ,"Молодая чёрно-белая кошечка , в черном ошейнике. Стерилизована. Найдена на Зеленодольской улице ",https://kinpet.ru/drugie-mos/sobaki/propala-sobaka-63080/,д. Николо-Черкизово 
97,Пропала собака. Мальчик ,очень пугливый,https://kinpet.ru/mikhaylovsk/sobaki/propala-sobaka-malchik-63051/,Михайловск 
98,Пропала кошка сфинкс! Девочка ,Кот чёрный с белыми пятнами,https://kinpet.ru/nalchik/koshki/propala-koshka-sfinks-devochka--63045/,Нальчик 
99,Пропал кот ,"Мальчик ЛаймБыл на передержкеСообщили что пропал 19.09Масковская область химкинскии раион, деревня николо черкизово посёлок белыи городНа кличку откликается только от нас хозяевПрошу найдите его",https://kinpet.ru/drugie-mos/koshki/propal-kot-63035/,д. Марьино 
100,Потерялся кот! ,"Мальчик. Порода Йоркширский терьер, в г. Михайловске, на ул. Вокзальной.",https://kinpet.ru/sankt-peterburg/koshki/poteryalsya-kot-63027/,Санкт-Петербург 
101,Потерялся кот. Кличка Паштет. Кастрирован. Очень пугливый и острожный. ,"3 года, не маленькая, голубые глаза, откликается на «Маша, Машка» ",https://kinpet.ru/elektrogorsk/koshki/poteryalsya-kot-klichka-pashtet-kastrirovan-ochen-puglivyy-i-ostrozhnyy--63019/,Электрогорск 
102,Потерялась собака! ,"Пропал кот. Его зовут Рыжик. Мы его очень любим и ждем. Котик рыжий с белыми пятнышками на груди и мордочке, ему около 5 лет. Не кастрирован. Пропал в районе д.Марьино, Солнечногорский районНедавно его видели в СНТ ""Пятницкое"". Вы очень поможете, если разместите это объявление в каком-либо чате в ближайшей местности его пропажи. Если вы его видели - позвоните по тел. 8 903 169 91 52 Татьяна, 8 903 197 42 06 Дмитрий. Будем благодарны за помощь.",https://kinpet.ru/kaliningrad/sobaki/poteryalas-sobaka-63002/,Калининград 
103,Потерялась собака ,"Ночью 18.09.2024 Потерялся кот!Зовут Лунтик, порода невская маскарадная, серый в полоску, голубые глаза,пушистый, очень ласковый, взрослый, на лбу видна буква М! ПОТЕРЯЛСЯ ПО АДРЕСУ: Санкт-Петербург, Выборгский район, угол пр. Просвещения и ул. СимоноваНашедшему, вернувшему нашего котика хорошее вознаграждение.",https://kinpet.ru/drugie-mos/sobaki/poteryalas-sobaka-63000/,д. Брёхово 
104,Потерялся ,Еще 4 фото,https://kinpet.ru/tyumen/sobaki/poteryalsya-62996/,Тюмень 
105,Прибилась кошка во двор ,Ничего не найденоУкажите другую породу,https://kinpet.ru/sankt-peterburg/koshki/pribilas-koshka-vo-dvor-62987/,Санкт-Петербург 
106,"Найдена девочка алабай САО, белая с рыжими пятнами. В районе 3 Пушкарной ",Ничего не найденоУкажите другую породу,https://kinpet.ru/kursk/sobaki/naydena-devochka-alabay-sao-belaya-s-ryzhimi-pyatnami-v-rayone-3-pushkarnoy-62964/,Курск 
107,Найден котенок/кошка ,Ничего не найденоУкажите другую породу,https://kinpet.ru/ekaterinburg/koshki/nayden-kotenok-koshka-62955/,Екатеринбург 
